DNTNO,HDATE,HTIME,PRDCD,RSHLD,HLDBY,HLDPROG,RSCLR,CDATE,CTIME,CLRBY,CLRPROG
G052522523918C ,20240510,152434996,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522523918C ,20240510,153202391,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522525535A ,20240510,152435059,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522525535A ,20240510,153202500,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522525748L ,20240510,152435121,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522525748L ,20240510,153202609,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522526107Y ,20240509,155511206,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522526210* ,20240509,155511284,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522527672Y ,20240510,152435184,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522527672Y ,20240510,153202703,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522528091N ,20240521,075958421,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G0525225283485 ,20240509,155511378,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522528527* ,20240510,152435262,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522528527* ,20240510,153202781,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522528754E ,20240509,155511472,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522529415* ,20240510,152435340,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522529415* ,20240510,153202844,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225298066 ,20240509,155511565,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225298066 ,20240509,155511643,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522529811C ,20240509,155511706,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225301590 ,20240509,155511784,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225308155 ,20240510,152435403,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225308155 ,20240510,153202922,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225317123 ,20240509,155511878,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522532128J ,20240510,152435465,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522532128J ,20240510,153202984,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522533751V ,20240521,075958499,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522534075I ,20240527,134546961,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522535327V ,20240510,152435543,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522535327V ,20240510,153203047,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522536956V ,20240521,075958577,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522537007V ,20240521,075958655,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522537461O ,20240521,075958733,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G0525225387919 ,20240510,152435606,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225387919 ,20240510,153203109,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522538821T ,20240510,152435668,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522538821T ,20240510,153203187,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522539892K ,20240527,134547039,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522541116B ,20240521,075958811,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522542139I ,20240521,075958889,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G0525225421952 ,20240521,075958983,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522542715N ,20240521,075959061,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522546915H ,20240510,152435746,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522546915H ,20240510,153203375,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522546988K ,20240510,152435809,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
